,year,title,speaker
81,1979,明るい日本の未来（香川県における大平内閣総理大臣の記念講演）,大平正芳
82,1979,"対談「""こんにちは""大平さん（抄）」（大平内閣総理大臣）",大平正芳
83,1979,選択のとき(抄）（ＮＨＫ「総理にきく」）（大平内閣総理大臣）,大平正芳
84,1979,対談「エネルギー新時代への対応（抄）」（大平内閣総理大臣）,大平正芳
85,1979,一九八〇年代の新しい選択（第三回自由民主党夏期全国研修会における大平内閣総理大臣の講演）,大平正芳
86,1979,当面の内外施策（内外情勢調査会における大平内閣総理大臣の講演）,大平正芳
87,1979,故椎名悦三郎氏に対する自由民主党葬における大平内閣総理大臣の弔辞,大平正芳
88,1979,大平正芳内閣総理大臣の中国訪問の際の政協礼堂における公開演説,大平正芳
89,1979,「大平さん，ざっくばらんにいきますよ」（抄）（フジテレビ「総理と語る」）（大平内閣総理大臣）,大平正芳
90,1980,座談会「確かな八〇年代の構築‐大切な国際化時代の自覚と責任‐（抄）」（大平内閣総理大臣）,大平正芳
91,1980,大平正芳内閣総理大臣のメルボルンにおける演説,大平正芳
92,1980,大平正芳内閣総理大臣のオークランドにおける演説,大平正芳
93,1980,ロペス・ポルティーリョ・メキシコ大統領夫妻主催晩餐会における大平正芳内閣総理大臣スピーチ,大平正芳
94,1980,カナダ連邦議会における大平正芳内閣総理大臣演説,大平正芳
95,1980,対談「調和の国日本に」（大平内閣総理大臣）,大平正芳
96,1981,鈴木善幸内閣総理大臣のバンコクにおける政策演説（バンコク・スピーチ）,鈴木善幸
97,1981,ナショナル・プレス・クラブにおける鈴木善幸内閣総理大臣演説,鈴木善幸
98,1981,英国王立国際問題研究所における鈴木善幸内閣総理大臣演説−新たな日欧関係を目指して,鈴木善幸
99,1981,第５回日米関係民間会議（下田会議）における鈴木善幸内閣総理大臣演説−アジアの挑戦−,鈴木善幸
100,1982,第２回国連軍縮特別総会一般討論における鈴木善幸内閣総理大臣演説,鈴木善幸
101,1982,東西センターにおける鈴木善幸内閣総理大臣の演説,鈴木善幸
102,1982,ガンジー・インド首相歓迎晩餐会における鈴木内閣総理大臣の挨拶,鈴木善幸
103,1982,全国都道府県知事会議における鈴木内閣総理大臣の挨拶,鈴木善幸
104,1982,政協礼堂における鈴木善幸内閣総理大臣の日中国交正常化十周年記念講演—「豊かな交流と揺るぎない友好」—,鈴木善幸
105,1982,ブレジネフ・ソ連邦最高会議幹部会議長の逝去に際して（鈴木内閣総理大臣）,鈴木善幸
106,1983,ＡＳＥＡＮ歴訪の中曽根康弘内閣総理大臣のクアラルンプール・スピーチ,中曽根康弘
107,1983,新しい豊かさをめざす経済運営，高度情報社会実現への五原則（中曽根内閣総理大臣）,中曽根康弘
108,1983,ジョンズ・ホプキンス大学高等国際問題研究所卒業式における中曽根康弘内閣総理大臣演説,中曽根康弘
109,1983,ニューヨーク日本協会における中曽根康弘内閣総理大臣の演説,中曽根康弘
110,1983,高崎高等学校における講演，政治を志す若い諸君へ（中曽根内閣総理大臣）,中曽根康弘
111,1984,中曽根康弘内閣総理大臣の北京大学における講演,中曽根康弘
112,1984,中曽根康弘内閣総理大臣のインド議会における演説,中曽根康弘
113,1984,ガンジー首相主催晩餐会におけるスピーチ，相対主義と共存の哲学（中曽根内閣総理大臣）,中曽根康弘
114,1984,国際戦略問題研究所における中曽根康弘内閣総理大臣演説,中曽根康弘
115,1984,第五十五回全国経営者大会における講演，国際情勢の展望と日本の進路，地平線をこえて（中曽根内閣総理大臣）,中曽根康弘
116,1984,第四回軽井沢セミナーにおける講演，新しい成長の道（中曽根内閣総理大臣）,中曽根康弘
117,1984,第八回全国研修会における講演，新しい成長の道を考える（中曽根内閣総理大臣）,中曽根康弘
